369,9217410,185,1775365
Alabama,AL,10,75952
Arkansas,AR,6,53887
California,CA,6,82110
Colorado,CO,3,26774
Connecticut,CT,6,66400
Delaware,DE,3,14730
Florida,FL,4,25810
Georgia,GA,11,78726
Kentucky,KY,12,133553
Louisiana,LA,8,52232
Maine,ME,7,71952
Maryland,MD,8,86111
Massachusetts,MA,13,141133
Mississippi,MS,8,58535
Missouri,MO,15,198645
Nevada,NV,3,9173
New Hampshire,NH,5,43181
North Carolina,NC,10,120474
Oregon,OR,3,20412
Rhode Island,RI,4,14618
South Carolina,SC,7,84897
Tennessee,TN,12,121632
Vermont,VT,5,32298
Virginia,VA,11,105809
West Virginia,WV,5,56321
